,useless,pr_min_color,pr_min,pr_avg,rc_min_color,rc_min,rc_avg,colorspace,degree,regularization
248,0.03632478632478633,Grey,0.6153846153846154,0.8539843318421114,Grey,0.42105263157894735,0.8068947675621824,CbHYb,4,2
127,0.03205128205128205,Grey,0.631578947368421,0.8534680592231412,Grey,0.3157894736842105,0.7936988744154299,BHYa,4,2
207,0.035256410256410256,Grey,0.5925925925925926,0.8532508197730725,Grey,0.42105263157894735,0.8040332612524003,CbGHb,4,2
415,0.03632478632478633,Grey,0.4888888888888889,0.8531192709811415,Grey,0.5789473684210527,0.8130717400230598,GSVY,4,2
444,0.027777777777777776,Grey,0.6153846153846154,0.8531007953265024,Grey,0.42105263157894735,0.7798198798507341,HRVY,4,2
116,0.030982905982905984,Grey,0.48148148148148145,0.8529413030428815,Grey,0.34210526315789475,0.7995385858645409,BHRV,4,2
408,0.03632478632478633,Grey,0.4489795918367347,0.8528691653111026,Grey,0.5789473684210527,0.8176418243003388,GRSb,4,2
447,0.03311965811965812,Gold,0.6504854368932039,0.8526968045729011,Grey,0.3684210526315789,0.7869179469104777,HRYa,4,2
457,0.03205128205128205,Brown,0.6910569105691057,0.8525818124859277,Grey,0.13157894736842105,0.7736078574995846,HVYb,4,2
492,0.03311965811965812,Grey,0.42,0.8523263085975633,Grey,0.5526315789473685,0.8079709140671881,SVab,4,2
481,0.035256410256410256,Grey,0.4583333333333333,0.852018169365055,Grey,0.5789473684210527,0.8125217184292942,RSVa,4,2
233,0.03739316239316239,Grey,0.68,0.8519151224594881,Grey,0.4473684210526316,0.8132127474238391,CbHLa,4,2
17,0.03632478632478633,Grey,0.6,0.8517794109539305,Grey,0.47368421052631576,0.8057631353904621,BCbHL,4,2
148,0.03311965811965812,Grey,0.42,0.851669304327625,Grey,0.5526315789473685,0.8134518033131736,BRSb,4,2
109,0.03205128205128205,Grey,0.5357142857142857,0.8516352946628974,Grey,0.39473684210526316,0.8046090781096004,BHLR,4,2
419,0.03311965811965812,Grey,0.4375,0.8514173814396815,Grey,0.5526315789473685,0.8105620514134924,GSYb,4,2
378,0.03311965811965812,Gold,0.6616915422885572,0.851323337560889,Grey,0.3684210526315789,0.7910011777552645,GHRa,4,2
433,0.03205128205128205,Grey,0.56,0.8512342618867754,Grey,0.3684210526315789,0.769915520596893,HLSb,4,2
377,0.029914529914529916,Grey,0.625,0.8511867461024938,Grey,0.39473684210526316,0.7882213190777935,GHRY,4,2
234,0.03739316239316239,Grey,0.6153846153846154,0.8511254599993117,Grey,0.42105263157894735,0.7984926178586951,CbHLb,4,2
448,0.03311965811965812,Grey,0.5909090909090909,0.8510797251363277,Grey,0.34210526315789475,0.8025036681943831,HRYb,4,2
313,0.029914529914529916,Silver,0.6779661016949152,0.8508132911958296,Grey,0.34210526315789475,0.7945690228652693,CrHLR,4,2
322,0.03632478632478633,Noise,0.6344827586206897,0.8507628292327584,Grey,0.42105263157894735,0.7998486328788896,CrHRa,4,2
193,0.03632478632478633,Grey,0.625,0.8505439048353913,Grey,0.39473684210526316,0.8096597195672313,CbCrSa,4,2
213,0.03632478632478633,Grey,0.5769230769230769,0.8504146686525528,Grey,0.39473684210526316,0.8021344498909202,CbGLb,4,2
25,0.0405982905982906,Silver,0.7241379310344828,0.8501359983876973,Green,0.4838709677419355,0.7790023223836406,BCbLS,4,2
147,0.03632478632478633,Grey,0.4583333333333333,0.8500208660129562,Grey,0.5789473684210527,0.8164710685746387,BRSa,4,2
493,0.03311965811965812,Grey,0.42,0.8497967972522867,Grey,0.5526315789473685,0.8053999562028766,SYab,4,2
484,0.03632478632478633,Grey,0.42857142857142855,0.8494955617116465,Grey,0.5526315789473685,0.8149994946677007,RSYb,4,2
277,0.03311965811965812,Grey,0.6451612903225806,0.8492241595061992,Green,0.4838709677419355,0.7821636601697388,CbSVb,4,2
